candidate_name,year,election_type,office,party,double_checked,source
"WALDRON, MARIE",2018,PRIMARY,ASSEMBLY 75,REPUBLICAN,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-general/november2016-certified-list-of-candidates.pdf
"SWINNEY, CARL M. ""MARTY""",2001,SPECIAL ELECTION,STATE SENATE 24,LIBERTARIAN,x,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=intention&electNav=39
"PHAM, NAM",2016,PRIMARY,ASSEMBLY 72,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-primary/june-2016-abbrev-candidates.pdf
"ISLAM, MESBAH",2016,PRIMARY,ASSEMBLY 73,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-primary/june-2016-write-in-voter-nominated.pdf
"STROM-MARTIN, VIRGINIA",2000,GENERAL,ASSEMBLY 01,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GILLEO, JOSHUA",2000,GENERAL,ASSEMBLY 01,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LAMPSON, MIKE",2000,GENERAL,ASSEMBLY 01,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"THIESSEN, PATRICE",2000,GENERAL,ASSEMBLY 02,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DICKERSON, RICHARD ""DICK""",2000,GENERAL,ASSEMBLY 02,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BRET, PETE ANTHONY",2000,GENERAL,ASSEMBLY 02,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PARKS, VIRGIL",2000,GENERAL,ASSEMBLY 02,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"THOMASON, WILLIAM L.",2000,GENERAL,ASSEMBLY 03,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
